DealerState,DealerCity,DealerZipCode,DealerName
CA,Albany,94706,Albany Ford
CA,Alhambra,91801,Bob Wondries Ford
CA,Arroyo Grande,93420,Mullahey Ford
CA,Auburn,95603,Auburn Ford
CA,Bakersfield,93301,Jim Burke Ford
CA,Barstow,92311,Mohave Ford of Barstow
CA,Bishop,93514,Bishop Ford
CA,Blythe,92225,Larry Green Ford
CA,Brentwood,94513,Bill Brandt Ford
CA,Buellton,93427,Jim Vreeland Ford
CA,Buena Park,90621,Ken Grody Ford
CA,Calexico,92231,Robinson Ford Sales
CA,Carlsbad,92008,Ken Grody Ford
CA,Cathedral City,92234,Palm Springs Ford-Lincoln
CA,Ceres,95307,Country Ford Trucks
CA,Cerritos,90703,Norm Reeves Ford Lincoln
CA,Chico,95928,Ed Wittmeir Ford Lincoln
CA,Chino,91710,Chino Hills Ford
CA,Chula Vista,91911,Fuller Ford
CA,Clovis ,93612,Future Ford of Clovis
CA,Colma,94014,Serramonte Ford
CA,Colusa,95932,Hoblit Motors
CA,Concord,94520,Future Ford Lincoln of Concord
CA,Corning,96021,Corning Ford
CA,Costa Mesa,92627,Theodore Robins Inc