DealerMake,DealerState,DealerCity,DealerZipCode,DealerName,,,,
Ford,CA,Albany,94706,Albany Ford,,,,
Ford,CA,Alhambra,91801,Bob Wondries Ford,,,,
Ford,CA,Arroyo Grande,93420,Mullahey Ford,,,,
Ford,CA,Auburn,95603,Auburn Ford,,,,
Ford,CA,Bakersfield,93301,Jim Burke Ford,,,,
Ford,CA,Barstow,92311,Mohave Ford of Barstow,,,,
Ford,CA,Bishop,93514,Bishop Ford,,,,
Ford,CA,Blythe,92225,Larry Green Ford,,,,
Ford,CA,Brentwood,94513,Bill Brandt Ford,,,,
Ford,CA,Buellton,93427,Jim Vreeland Ford,,,,
Ford,CA,Buena Park,90621,Ken Grody Ford,,,,
Ford,CA,Calexico,92231,Robinson Ford Sales,,,,
Ford,CA,Carlsbad,92008,Ken Grody Ford,,,,
Ford,CA,Cathedral City,92234,Palm Springs Ford-Lincoln,,,,
Ford,CA,Ceres,95307,Country Ford Trucks,,,,
Ford,CA,Cerritos,90703,Norm Reeves Ford Lincoln,,,,
Ford,CA,Chico,95928,Ed Wittmeir Ford Lincoln,,,,
Ford,CA,Chino,91710,Chino Hills Ford,,,,
Ford,CA,Chula Vista,91911,Fuller Ford,,,,
Ford,CA,Clovis ,93612,Future Ford of Clovis,,,,
Ford,CA,Colma,94014,Serramonte Ford,,,,
Ford,CA,Colusa,95932,Hoblit Motors,,,,
Ford,CA,Concord,94520,Future Ford Lincoln of Concord,,,,
Ford,CA,Corning,96021,Corning Ford,,,,
Ford,CA,Costa Mesa,92627,Theodore Robins Inc,,,,
Toyota,CA,Albany,94710,Toyota of Berkeley Certified Service Center,,,,
Toyota,CA,Alhambra,91801,Wondries Toyota,,,,
Toyota,CA,Antioch,94509,Antioch Toyota,,,,
Toyota,CA,Anaheim,92801,Miller Toyota of Anaheim,,,,
Toyota,CA,Bakersfield,93313,Bill Wright Toyota,,,,
Toyota,CA,Bakersfield,93308,North Bakersfield Toyota,,,,
Toyota,CA,Barstow,92311,Mojave Toyota of Barstow,,,,
Toyota,CA,Berkeley,94704,Toyota of Berkeley,,,,
Toyota,CA,Auburn,95603,Auburn Toyota,,,,
Toyota,CA,Buena Park,90621,AutoNation Toyota Buena Park,,,,
Toyota,CA,Burlingame,94010,Putnam Toyota,,,,
Toyota,CA,Capitola,95010,Toyota of Capitola,,,,
Toyota,CA,Carlsbad,92008,Toyota Carlsbad,,,,
Toyota,CA,Carson,90745,Carson Toyota,,,,
Toyota,CA,Cathedral City,92234,Toyota of the Desert,,,,
Toyota,CA,Cerritos,90703,AutoNation Toyota Cerritos,,,,
Toyota,CA,Chico,95926,Chuck Patterson Toyota Dodge,,,,
Toyota,CA,Chula Vista,91911,Toyota Chula Vista,,,,
Toyota,CA,City of Industry,91791,Punte Hills Toyota,,,,
Toyota,CA,Claremont,91711,Claremont Toyota,,,,
Toyota,CA,Clovis ,93612,Toyota of Clovis,,,,
Toyota,CA,Concord,94520,Concord Toyota,,,,
Toyota,CA,Costa Mesa,92627,South Coast Toytoa,,,,
Toyota,CA,Culver City,90232,Culver City Toyota,,,,
Toyota,CA,Coronoa,92881,Larry H Miller Toyota Corona,,,,
Honda,CA,Auburn,95603,Auburn Honda,,,,http://www.autospies.com/dealers/Honda/California/
Honda,CA,Buena Park,90621,Buena Park Honda,,,,
Honda,CA,City of Industry,91748,Diamond Honda,,,,
Honda,CA,Alhambra,91801,Goudy Honda,,,,
Honda,CA,Anaheim,92806,Hardin,,,,
Honda,CA,Cathedral city,92234,Honda of the desert,,,,
Honda,CA,Cerritos,90703,Norm Reeves,,,,
Honda,CA,Burlingame,94010,Ocean Honda,,,,
Honda,CA,Anaheim,92807,Weir Canyon,,,,
Honda,CA,Costa Mesa,92626,AutoNation,,,,
Honda,CA,Bakersfield,93313,Barber,,,,
Honda,CA,Culver City,90232,Culver City,,,,
Honda,CA,Chula Vist,91911,Fuller,,,,
Honda,CA,Carlesbad,92008,Hoehn,,,,
Honda,CA,Clovis,93612,Honda North,,,,
Honda,CA,Colma,94014,Honda of Seramonte,,,,
Honda,CA,Berkeley,94704,Berkeley Honda,,,,
Honda,CA,Carson,90745,Carson Honda,,,,
Honda,CA,Concord,94520,Concord Honda,,,,
Honda,CA,Corona,92882,Honda cars of coronoa,,,,
Honda,CA,Citrus Heights,95621,Matia Honda,,,,
Honda,CA,Bishop,93514,Perry Motors,,,,
Honda,CA,Chico,95928,Wittmeir Honda,,,,
Chevrolet,CA,Arroyo Grande,93420,Arroyo Grande Chevrolet,,http://www.autospies.com/dealers/Chevrolet/California/,,
Chevrolet,CA,Costa Mesa,92626,Connell Chevrolet,,,,
Chevrolet,CA,Banning ,92220,Diamond Hills Auto Grou,,,,
Chevrolet,CA,Blythe,92225,Larry Green Chevrolet,,,,
Chevrolet,CA,Chino,91710,MK Smith Chevrolet,,,,
Chevrolet,CA,Buena Park,90621,Premier Chevrolet of Buena Park,,,,
Chevrolet,CA,Corcaran,93212,Richard's Chevrolet,,,,
Chevrolet,CA,Colma,94014,Steward Chevrolet Cadillac,,,,
Chevrolet,CA,Culver City,90230,Albertson Chevrolet,,,,
Chevrolet,CA,Burbank,91502,Community Chevrolet,,,,
Chevrolet,CA,Bellflower,90706,George Chevrolet,,,,
Chevrolet,CA,Culver City,90230,Hooman Chevrolet,,,,
Chevrolet,CA,City of Industry,91748,Punte Hills Chevrolet,,,,
Chevrolet,CA,Bakersfield,93313,Three-way Chevrolet,,,,
Chevrolet,CA,Carson,90810,Win Chevrolet,,,,
Chevrolet,CA,Chico,95928,Wittmeier Chevrolet,,,,
Chevrolet,CA,Culver City,90230,Bunnin Chevrolet,,,,
Chevrolet,CA,Alturas,96101,Carstens Chevrolet Buic,,,,
Chevrolet,CA,Concord,94520,Concord Chevrolet,,,,
Chevrolet,CA,Auburn,95603,Gold Rush Chevrolet,,,,
Chevrolet,CA,Clovis,93612,Hedrick's Chevrolet,,,,
Chevrolet,CA,CAthedral City,92234,Jessup Auto Plaza,,,,
Chevrolet,CA,Cerritos ,90703,Penske Chevrolet,,,,
Chevrolet,CA,Burlingame,94010,Putname Chevrolet Cadillac,,,,
Chevrolet,CA,Buellton,93427,Rio Vista Chevrolet,,,,
Chevrolet,CA,Covina,91723,Sage Covina Chevrolet,,,,
Chevrolet,CA,Chowchilla,93610,Steves Chevrolet of Chowchilla,,,,
Chevrolet,CA,Carlsabad,92008,Weseloh Chevrolet,,,,
Chevrolet,CA,Colfax,95713,Winner Chevrolet,,,,
Nissan,CA,Antioch,94509,Antioch Nissan,,,,
Nissan,CA,Carson ,90745,Carson Nissan,,,,
Nissan,CA,Chico,95926,Chico Nisan,,,,
Nissan,CA,Burlingame,94010,Nissan of Burlingame,,,,
Nissan,CA,Costa Mesa,92626,Orange Coast Nissan,,,,
Nissan,CA,Barstow,92311,Soutar's Ford Lincoln Nissan,,,,
Nissan,CA,Alhambra,91801,Alhambra Nissan,,,,
Nissan,CA,Buena Park,90621,Buena Park Nissan,,,,
Nissan,CA,Corona,92882,Larry H Miller Nissan coronoa,,,,
Nissan,CA,Colma,94014,Nissan of Serramonte,,,,
Nissan,CA,City of Industry,91748,Punte Hills Nissan,,,,
Nissan,CA,Concord,94520,Autocom Nissan of Concord,,,,
Nissan,CA,Cerritos,90703,Cerritos Nisan,,,,
Nissan,CA,Clovis,93612,Lithia Nissan of Clovis,,,,
Nissan,CA,Chula Vista,91911,Mossy Nissan Chula Vista,,,,
Nissan,CA,Bakersfield,93313,Nissan of Bakersfield,,,,
Nissan,CA,Cathedral City,92234,Palm Springs Nissan,,,,