VehicleModel,ConsolidatedModel,VehicleMake,ConsolidatedMake
CIVIC,Civic,HONDA,Honda
Civic,Civic,Honda,Honda
FUSION,Fusion,FORD,Ford
Fusion,Fusion,Ford,Ford
FOCUS,Focus,FORD,Ford
Focus,Focus,Ford,Ford
C-MAX,C-Max,FORD,Ford
C-Max,C-Max,Ford,Ford
ESCAPE,Escape,FORD,Ford
Escape,Escape,Ford,Ford
MALIBU,Malibu,CHEVROLET,Chevrolet
Malibu,Malibu,Chevrolet,Chevrolet
Cruze,Cruze,Chevrolet,Chevrolet
Bolt,Bolt,Chevrolet,Chevrolet
CRUZE,Cruze,CHEVROLET,Chevrolet
VOLT,Volt,CHEVROLET,Chevrolet
Volt,Volt,Chevrolet,Chevrolet
VERANO,Verano,BUICK,Buick
Verano,Verano,Buick,Buick
ELR,ELR,CADILLAC,Cadillac
ELR,ELR,Cadillac,Cadillac
ACCORD,Accord,HONDA,Honda
Accord,Accord,Honda,Honda
ALTIMA,Altima,NISSAN,Nissan
Altima,Altima,Nissan,Nissan
LEAF,Leaf,NISSAN,Nissan
LEAF,Leaf,Nissan,Nissan
Pacifica,Pacifica,Chrysler,Chrysler
CR-V,CR-V,HONDA,Honda
CR-V,CR-V,Honda,Honda
COROLLA,Corolla,TOYOTA,Toyota
Corolla,Corolla,Toyota,Toyota
RAV4,RAV4,TOYOTA,Toyota
RAV4,RAV4,Toyota,Toyota
500,500,FIAT,Fiat
500c,500,FIAT,Fiat
500E,500,FIAT,Fiat
500e,500,FIAT,Fiat
FIT,Fit,HONDA,Honda
Fit,Fit,Honda,Honda
Yaris,Yaris,Toyota,Toyota
VERSA,Versa,NISSAN,Nissan
Versa Note,Versa Note,Nissan,Nissan
Versa,Versa,Nissan,Nissan
Golf,Golf,Volkswagen,Volkswagen
GOLF,,VOLKSWAGEN,Volkswagen
JETTA,Jetta,VOLKSWAGEN,Volkswagen
Jetta,Jetta,Volkswagen,Volkswagen
Golf Alltrack,Golf,Volkswagen,Volkswagen
GLE,GLE,Mercedes-Benz,Mercedes-Benz
GLE Coupe,GLE Coupe,Mercedes-Benz,Mercedes-Benz
CAMRY,Camry,TOYOTA,Toyota
Camry,Camry,Toyota,Toyota
C-Class,C-Class,Mercedes-Benz,Mercedes-Benz
C Class,C-Class,Mercedes-Benz,Mercedes-Benz
Sonata,Sonata,Hyundai,Hyundai
X5,X5,BMW,BMW
ROADSTER 2.5,ROADSTER,TESLA,Tesla
ROADSTER,ROADSTER,TESLA,Tesla
MODEL S,Model S,TESLA,Tesla
Model S,Model S,Tesla,Tesla
Model X,Model X,Tesla,Tesla
MODEL X,Model X,TESLA,Tesla
I-MIEV,I-MIEV,MITSUBISHI,Mitsubishi
i-MiEV,I-MIEV,Mitsubishi,Mitsubishi
FCX CLARITY,FCX Clarity,HONDA,Honda
Clarity Fuel Cell,Clarity Fuel Cell,Honda,Honda
YARIS,Yaris,TOYOTA,Toyota
MIRAI,Mirai,TOYOTA,Toyota
Mirai,Mirai,Toyota,Toyota
Prius Prime,Prius Prime,Toyota,Toyota
Prius,Prius,Toyota,Toyota
PRIUS C,Prius C,TOYOTA,Toyota
Prius C,Prius C,Toyota,Toyota
PRIUS,Prius,TOYOTA,Toyota
PRIUS V,Prius V,TOYOTA,Toyota
Prius V,Prius V,Toyota,Toyota
SPARK,Spark,CHEVROLET,Chevrolet
Spark,Spark,Chevrolet,Chevrolet
Tucson Hydrogen EV,Tucson Hydrogen EV,Hyundai,Hyundai
Ioniq,Ioniq,Hyundai,Hyundai
Optima Plug-In,Optima Plug-In,Kia,Kia
SOUL,Soul,KIA,Kia
Soul,Soul,Kia,Kia
CT6 PLUG-IN,CT6 Plug-In,Cadillac,Cadillac
A3 Sportback,A3 Sportback,Audi,Audi
A3 Sportback eTron,A3 Sportback eTron,Audi,Audi
3 Series,3 Series,BMW,BMW
5 Series,5 Series,BMW,BMW
7 Series,7 Series,BMW,BMW
I3,i3,BMW,BMW
i3,i3,BMW,BMW
i8,i8,BMW,BMW
B CLASS,B-Class,MERCEDES-BENZ,Mercedes-Benz
S-Class,S-Class,Mercedes-Benz,Mercedes-Benz
S Class,S-Class,Mercedes-Benz,Mercedes-Benz
B-Class,B-Class,Mercedes-Benz,Mercedes-Benz
FORTWO,fortwo,SMART,Smart
fortwo,fortwo,Smart,Smart
fortwo,fortwo,smart,Smart
Panamera,Panamera,Porsche,Porsche
Cayenne,Cayenne,Porsche,Porsche
E-GOLF,E-Golf,VOLKSWAGEN,Volkswagen
e-Golf,E-Golf,Volkswagen,Volkswagen
Golf R,Golf,Volkswagen,Volkswagen
XC90,XC90,Volvo,Volvo
500L,500,FIAT,Fiat
500X,500,FIAT,Fiat